feat_i,feat_j,name_i,name_j,cv_mean_acc,cv_std_acc,fold_accuracies,rank
12,20,perimeter error,worst radius,0.9018987341772151,0.02218510169870378,0.912500000000;0.925000000000;0.912500000000;0.898734177215;0.860759493671,149
20,23,worst radius,worst area,0.9018987341772151,0.023551618572442746,0.925000000000;0.900000000000;0.925000000000;0.898734177215;0.860759493671,150
13,25,area error,worst compactness,0.8996202531645571,0.023317996691748458,0.900000000000;0.862500000000;0.887500000000;0.924050632911;0.924050632911,151
7,8,mean concave points,mean symmetry,0.8995253164556962,0.026120921033196687,0.850000000000;0.912500000000;0.925000000000;0.911392405063;0.898734177215,152
7,12,mean concave points,perimeter error,0.8994936708860759,0.02092569123726646,0.862500000000;0.912500000000;0.925000000000;0.898734177215;0.898734177215,153
2,10,mean perimeter,radius error,0.8994620253164557,0.011513334960381835,0.887500000000;0.912500000000;0.912500000000;0.898734177215;0.886075949367,154
3,21,mean area,worst texture,0.8994620253164557,0.011513334960381835,0.912500000000;0.887500000000;0.912500000000;0.886075949367;0.898734177215,155
7,15,mean concave points,compactness error,0.8994620253164557,0.011513334960381835,0.887500000000;0.912500000000;0.912500000000;0.886075949367;0.898734177215,156
3,8,mean area,mean symmetry,0.8994620253164557,0.02407510413935155,0.887500000000;0.900000000000;0.925000000000;0.924050632911;0.860759493671,157
0,21,mean radius,worst texture,0.8994303797468355,0.016319298394236067,0.900000000000;0.900000000000;0.925000000000;0.873417721519;0.898734177215,158
10,23,radius error,worst area,0.899398734177215,0.021544660783310226,0.912500000000;0.925000000000;0.900000000000;0.898734177215;0.860759493671,159
13,23,area error,worst area,0.8993354430379747,0.027020276410238513,0.925000000000;0.925000000000;0.912500000000;0.873417721519;0.860759493671,160
11,23,texture error,worst area,0.8993354430379746,0.033386360908256585,0.925000000000;0.925000000000;0.912500000000;0.898734177215;0.835443037975,161
5,13,mean compactness,area error,0.8970253164556962,0.021329066972115243,0.862500000000;0.887500000000;0.925000000000;0.911392405063;0.898734177215,162
7,18,mean concave points,symmetry error,0.896993670886076,0.016518259841393435,0.875000000000;0.887500000000;0.925000000000;0.898734177215;0.898734177215,163
8,27,mean symmetry,worst concave points,0.896993670886076,0.023004827315042074,0.875000000000;0.887500000000;0.925000000000;0.924050632911;0.873417721519,164
4,27,mean smoothness,worst concave points,0.896993670886076,0.027800232160681518,0.850000000000;0.937500000000;0.900000000000;0.898734177215;0.898734177215,165
0,1,mean radius,mean texture,0.8969303797468354,0.01278559340876647,0.900000000000;0.900000000000;0.912500000000;0.898734177215;0.873417721519,166
3,16,mean area,concavity error,0.8969303797468354,0.014979289232554233,0.900000000000;0.887500000000;0.925000000000;0.886075949367;0.886075949367,167
2,11,mean perimeter,texture error,0.8969303797468354,0.020333996134904053,0.875000000000;0.912500000000;0.925000000000;0.898734177215;0.873417721519,168
6,9,mean concavity,mean fractal dimension,0.8969303797468354,0.03131690082877976,0.887500000000;0.875000000000;0.950000000000;0.860759493671;0.911392405063,169
3,11,mean area,texture error,0.8968987341772152,0.019004370001501788,0.912500000000;0.900000000000;0.912500000000;0.898734177215;0.860759493671,170
0,18,mean radius,symmetry error,0.8968354430379746,0.03879377705610944,0.912500000000;0.875000000000;0.962500000000;0.886075949367;0.848101265823,171
3,18,mean area,symmetry error,0.8968037974683545,0.031811337981336056,0.925000000000;0.900000000000;0.937500000000;0.860759493671;0.860759493671,172
4,7,mean smoothness,mean concave points,0.8944620253164557,0.01876638311115135,0.862500000000;0.912500000000;0.912500000000;0.886075949367;0.898734177215,173
1,2,mean texture,mean perimeter,0.8944303797468354,0.01315763267265316,0.900000000000;0.887500000000;0.912500000000;0.898734177215;0.873417721519,174
7,29,mean concave points,worst fractal dimension,0.8944303797468356,0.023412033178442017,0.862500000000;0.912500000000;0.925000000000;0.873417721519;0.898734177215,175
0,13,mean radius,area error,0.8943987341772152,0.013415482258812044,0.912500000000;0.900000000000;0.900000000000;0.886075949367;0.873417721519,176
14,23,smoothness error,worst area,0.8943987341772152,0.015571614053671527,0.912500000000;0.887500000000;0.912500000000;0.886075949367;0.873417721519,177
7,11,mean concave points,texture error,0.8943987341772152,0.023557910863158067,0.875000000000;0.900000000000;0.937500000000;0.886075949367;0.873417721519,178
12,23,perimeter error,worst area,0.894367088607595,0.02097640612316456,0.900000000000;0.925000000000;0.900000000000;0.886075949367;0.860759493671,179
2,17,mean perimeter,concave points error,0.894367088607595,0.025050141992490484,0.887500000000;0.900000000000;0.937500000000;0.860759493671;0.886075949367,180
2,16,mean perimeter,concavity error,0.8919620253164556,0.020297469341195865,0.887500000000;0.862500000000;0.925000000000;0.898734177215;0.886075949367,181
0,16,mean radius,concavity error,0.8918987341772151,0.023494017006944062,0.887500000000;0.875000000000;0.937500000000;0.886075949367;0.873417721519,182
2,19,mean perimeter,fractal dimension error,0.8918987341772151,0.026079751166875297,0.875000000000;0.887500000000;0.937500000000;0.898734177215;0.860759493671,183
6,15,mean concavity,compactness error,0.8918987341772153,0.02607975116687529,0.862500000000;0.912500000000;0.925000000000;0.860759493671;0.898734177215,184
0,11,mean radius,texture error,0.8918354430379747,0.0347085110638008,0.875000000000;0.912500000000;0.937500000000;0.898734177215;0.835443037975,185
2,15,mean perimeter,compactness error,0.8894303797468354,0.009613901134129918,0.887500000000;0.887500000000;0.900000000000;0.898734177215;0.873417721519,186
0,3,mean radius,mean area,0.8894303797468354,0.020122800377105194,0.875000000000;0.875000000000;0.925000000000;0.898734177215;0.873417721519,187
15,27,compactness error,worst concave points,0.8893987341772153,0.012706789760149982,0.912500000000;0.887500000000;0.887500000000;0.873417721519;0.886075949367,188
0,2,mean radius,mean perimeter,0.8893987341772152,0.026965665054142635,0.875000000000;0.875000000000;0.937500000000;0.898734177215;0.860759493671,189
0,10,mean radius,radius error,0.8893670886075948,0.01720989540700013,0.887500000000;0.912500000000;0.900000000000;0.886075949367;0.860759493671,190
7,17,mean concave points,concave points error,0.8893670886075951,0.02063873490854566,0.900000000000;0.900000000000;0.900000000000;0.848101265823;0.898734177215,191
0,17,mean radius,concave points error,0.8893354430379746,0.028416347123596707,0.887500000000;0.887500000000;0.937500000000;0.848101265823;0.886075949367,192
2,18,mean perimeter,symmetry error,0.8893037974683544,0.03450522393913549,0.900000000000;0.875000000000;0.950000000000;0.873417721519;0.848101265823,193
6,13,mean concavity,area error,0.8870253164556962,0.02197579184045257,0.850000000000;0.875000000000;0.900000000000;0.911392405063;0.898734177215,194
0,19,mean radius,fractal dimension error,0.8869303797468355,0.02635063324583181,0.862500000000;0.875000000000;0.925000000000;0.911392405063;0.860759493671,195
13,24,area error,worst smoothness,0.8869303797468355,0.027655331076760423,0.912500000000;0.875000000000;0.875000000000;0.924050632911;0.848101265823,196
